Fund_Name,CIK,Series_CIK
Schwab MarketTrack Balanced Portfolio,0000904333,S000005918
Schwab MarketTrack Conservative Portfolio,0000904333,S000005919
Schwab Core Equity Fund,0000904333,S000005514
TCW Select Equities Fund,0000892071,S000006325
TCW Relative Value Mid Cap Fund,0000892071,S000006332
PGIM Quant Solutions International Equity Fund,0000741350,S000004671
PGIM Jennison Mid Cap Growth Fund,0001022624,S000004657
PGIM Quant Solutions Large-Cap Core Fund,0001070287,S000004644
Robeco WPG Small/Micro Cap Value Fund,,
Sit Balanced Fund,0000877880,S000003462
Sit Large Cap Growth Fund,0000356786,S000011803
Sit Mid Cap Growth Fund,0000356787,S000011802
Sit International Growth Fund,0000877880,S000003461
Sit Small Cap Growth Fund,0000877880,S000048642
Sit Developing Markets Growth Fund,0000877880,S000003463
M Fund - International Equity Fund,0000351601,S000048355
M Fund - Large Cap Growth Fund,0000932101,S000004952
M Fund - Capital Appreciation Fund,0000902475,S000006153
Vanguard Wellesley Income Fund,0000052848,S000004405
AMG GW&K Small Cap Value Fund,,
BNY Mellon S&P 500 Index Fund,,
Vanguard Selected Value Fund,0001004655,S000004409
Carillon Eagle Mid Cap Growth Fund,0000897111,S000008481
Carillon Eagle Small Cap Growth Fund,0000897111,S000008482
Morgan Stanley Insight Fund,0000836487,S000002337
MainStay Income Builder Fund,,
Vanguard International Value Fund,0000313850,S000004389
Yorktown Growth Fund,0000764859,S000008424
Matthew 25 Fund,0001003839,S000005937
ClearBridge Dividend Strategy Fund,0000880366,S000016665
Allspring Large Company Value Fund,0001081400,S000007273
Payden Equity Income Fund,0000885709,S000011766
American Century Balanced Fund,0000914036,S000083643
PGIM Jennison Global Equity Income Fund,0001035018,S000002192
PGIM Quant Solutions Mid-Cap Value Fund,0001035018,S000002179
Madison Diversified Income Fund,0001040612,S000020653
Madison Mid Cap Fund,0000710977,S000020651
Hennessy Balanced Fund,0000891944,S000000835
Hennessy Total Return Fund,0000891944,S000000836
Sequoia Fund,0000089043,S000012155
Sound Shore Fund,0000764157,S000004519
Evercore Equity Fund,0001517695,S000029812
Torray Fund (The),0000862696,S000001452
BlackRock Exchange Portfolio,0000844779,S000001878
Virtus NFJ Dividend Value Fund,0001423227,S000007963
Columbia Variable Portfolio  Acorn Fund,,
Wanger International Fund,0001413032,S000028689
Voya Russia Fund,0000895430,S000008523
Oberweis Fds. - Global Opportunities Fund,,
OBERWEIS FUNDS- Oberweis Micro-Cap Fund,0000803020,S000010231
Oberweis Small Cap Opportunities Fund,0000803020,S000010232
T Rowe Price Institutional Small Cap Stock Fund,0001012968,S000002094
Caldwell & Orkin - Gator Capital Long/Short Fund,,
Saratoga Adv. Trust - Financial Services Portfolio,,
"BNY Mellon Worldwide Growth Fund, Inc.",0000897569,S000000096
Vanguard Strategic Equity Fund,0000932471,S000002593
Vanguard Capital Opportunity Fund,0000932471,S000002594
Vanguard Global Equity Fund,0000313850,S000002595
Spirit of America Real Estate Income & Growth Fund,,
Schwab S&P 500 Index Fund,,
T Rowe Price Institutional Mid Cap Equity Growth Fund,0001012968,S000002092
Brandes International Equity Fund,0001806095,S000005855
Vanguard International Explorer Fund,0001004655,S000004407
Harding Loevner International Equity Portfolio,0001018170,S000004199
Harding Loevner Global Equity Portfolio,0001018170,S000004200
Harding Loevner Emerging Markets Portfolio,0001018170,S000004201
Virtus KAR Capital Growth Fund,0000034273,S000021173
Advisors Series Trust - Edgar Lomax Value Fund,0001027596,S000005075
PGIM Jennison Natural Resources Fund,0000816753,S000004515
ClearBridge Variable Mid Cap Portfolio,0001176343,S000016937
Lord Abbett Affiliated Fund,0000002691,S000006806
Franklin Mutual Ser. Fds. - Global Discovery Fund,,
Schwab MarketTrack Growth Portfolio,0000904333,S000006546
Franklin Mutual Ser. Fds. - Beacon Fund,,
Schwab Health Care Fund,0000904333,S000005519
ClearBridge International Value Fund,0000880366,S000016247
US Global Investors - Global Luxury Goods Fund,0000101507,S000023574
Berkshire Technology Fund,,
ProFunds - Biotechnology Ultrasector,0001039803,S000003107
ProFunds - Oil & Gas UltraSector,,
ProFunds - Financials Ultrasector,0001039803,S000003111
ProFunds - Healthcare Ultrasector,,
ProFunds - Internet Ultrasector,0001039803,S000003092
ProFunds - Pharmaceuticals UltraSector,0001039803,S000003093
ProFunds - Real Estate UltraSector,0001039803,S000003095
ProFunds - Semiconductor Ultrasector,0001039803,S000003096
ProFunds - Technology UltraSector,0001039803,S000003097
Communication Services UltraSector ProFund,0001039803,S000003100
ProFunds - Bull,0001039803,S000003059
ProFunds - UltraBull,0001039803,S000003955
ProFunds - UltraMid Cap,0001039803,S000003956
ProFunds - Ultra Small Cap,,
ProFunds - UltraNASDAQ-100,0001039803,S000003958
Franklin Mutual Ser. Fds. - Shares Fund,,
UBS Global Allocation Fund,0000886244,S000002816
Franklin Mutual International Value Fund,0000825063,S000007862
Franklin Mutual Ser. Fds. - Quest Fund,,
Advisors Inner Circle - Acadian Emerging Markets Portfolio,0000878719,S000005712
Advisors Inner Circle - Cambiar Opportunity Fund,0000878719,S000005783
Nuveen Multi-Cap Value Fund,0001013881,S000000605
Advisors Inner Circle - RHJ Micro Cap Portfolio,,
Glenmede Fund Inc. - Strategic Equity Fund,0000835663,S000006384
Glenmede Fund Inc. - Small Cap Equity Fund,0000835663,S000059608
Glenmede Fund Inc. - Quan. International Equity Portfolio,,
VY T Rowe Price Growth Equity Portfolio,0001039001,S000007609
Monteagle Fund - Select Value Fund,0001045701,S000001612
MFS Global Real Estate Portfolio,0001065698,S000008069
Franklin U.S. Small Cap Equity Fund,0001474103,S000036895
PGIM Jennison Financial Services Fund,0000352665,S000004379
PGIM Jennison Health Sciences Fund,0000352665,S000004380
PGIM Jennison Utility Fund,0000352665,S000004382
SA International Value Fund,0001075065,S000008780
SA US Value Fund,,
SA US Core Market Fund,,
SA US Small Company Fund,,
Nuveen Life Stock Index Fund,0001068204,S000005094
Nuveen Life Growth Equity Fund,0001068204,S000005088
Nuveen Life Growth & Income Fund,,
Nuveen Life International Equity Fund,0001068204,S000005091
Nuveen Life Social Choice Equity Fund,,
MassMutual Small Cap Opportunities Fund,0000927972,S000003788
AB Global Real Estate Investment Fund II,0001018592,S000010313
VALIC Company I - International Opportunities Fund,,
VALIC Company I - Capital Appreciation Fund,,
VALIC Company I - Mid Cap Value Fund,,
JPMorgan Diversified Fund,0000763852,S000002766
Dodge & Cox Balanced Fund,,
Fidelity Stock Selector Small Cap Fund,0000275309,S000005453
Fidelity Focused Stock Fund,0000275309,S000005452
Lord Abbett Focused Small Cap Value Fund,0000898031,S000007143
Lord Abbett Micro Cap Growth Fund,0000898031,S000007142
Yorktown Short Term Bond Fund,0000764859,S000008426
BBH Partner Fund - International Equity,0001342947,S000015105
Franklin Growth Opportunities Fund,0000872625,S000006878
Franklin Small Mid Cap Growth Fund,0000837274,S000006888
Franklin Small Cap Growth Fund,0000837274,S000022411
Tocqueville Trust - Tocqueville Fund (The),0000801444,S000006300
Franklin Biotechnology Discovery Fund,0000872625,S000006882
Franklin Natural Resources Fund,0001532747,S000006887
Nuveen Small Cap Select Fund,0000820892,S000005569
Nuveen Small Cap Growth Opportunities Fund,0000820892,S000005567
Old Westbury All Cap Core Fund,0000909994,S000001859
Allspring Large Cap Growth Fund,0001081400,S000007253
Virtus Tactical Allocation Fund,0000034273,S000021179
Victory Pioneer International Equity Fund,0002042316,S000089759
American Century Strategic Allocation Moderate Fund,0000924211,S000005932
American Century Strategic Allocation Aggressive Fund,0000924211,S000005931
Thompson Large Cap Fund,,
Fidelity Equity Dividend Income Fund,0000708191,S000006970
Vanguard Mid Cap Growth Fund,0001004655,S000030016
Macquarie Emerging Markets Fund,0000883622,S000003916
Macquarie Small Cap Value Fund,0000809821,S000002401
DWS CROCI Equity Dividend Fund,0000825062,S000062620
TCW Relative Value Large Cap Fund,0000892071,S000006335
Segall Bryant & Hamill Global All Cap Fund,,
Macquarie Wealth Builder Fund,0000914036,S000002399
Macquarie Small Cap Core Fund,0000809821,S000002400
Macquarie Value Fund,0000914036,S000002391
VALIC Company I - Nasdaq 100 Index Fund,,
VALIC Company I - International Equities Index Fund,,
VALIC Company I - Asset Allocation Fund,,
Lord Abbett Res. Fund Inc. - Growth Opportunities Fund,,
Arbitrage Fund (The),,
Lord Abbett Res. Fund Inc. - Small Cap Value Fund,,
Fairholme Fund (The),0001096344,S000031006
Integrity Growth & Income Fund,,
Artisan Mid Cap Fund,0000935015,S000006496
Artisan Small Cap Fund,0000935015,S000040210
Columbia Select Mid Cap Value Fund,0001413032,S000010792
Allied Asset Advisors Funds - Iman Fund,0001105877,S000005190
ClearBridge Mid Cap Core Fund,,
Davenport Core Leaders Fund,0000842512,S000001559
Williamsburg Invt. Trust - Jamestown Equity Fund,,
Williamsburg Invt. Trust - Government Street Equity Fund,,
Janus Aspen Ser. - VIT Balanced Portfolio,,
American Funds Income Fund of America,,
Vanguard Growth & Income Fund,,
NYLI S&P 500 Index Fund,,
American Funds New World Fund,0000933691,S000022014
Carillon Chartwell Real Income Fund,0000897111,S000075959
RBC Micro Cap Value Fund,,
OCM Gold Fund,0000745338,S000005294
T Rowe Price Global Technology Fund,0001116626,S000002085
ICON Natural Resources and Infrastructure Fund,0000836267,S000067904
Shelton Emerging Markets Fund,0000836267,S000008829
Volumetric Fund,0000792394,S000012023
USAA NASDAQ 100 Index Fund,0000908695,S000003237
T Rowe Price Large-Cap Value Fund,0001038469,S000013625
Schwartz Value Focused Fund,0000891160,S000001548
Columbia Global Technology Growth Fund,0000773757,S000012075
Columbia International Dividend Income Fund,0000773757,S000012074
First Eagle Variable - Overseas Fund,0001000249,S000011490
T Rowe Price Mid Cap Value Fund,0001012678,S000002103
State Street Var. Ins. Ser. Fds. Inc. - US Equity VIS Fund,,
State Street Var. Ins. Ser. Fds. Inc. - S&P 500 Index VIS Fund,,
State Street Var. Ins. Ser. Fds. Inc. - Premier Gr. Equity VIS,,
State Street Var. Ins. Ser. Fds. Inc. - Small Cap Equity VIS,,
State Street Var. Ins. Ser. Fds. Inc. - Total Return VIS Fund,,
State Street Var. Ins. Ser. Fds. Inc. - Real Estate Sec. VIS,,
State Street S&P 500 Index Fund,,
Alger Balanced Portfolio,0000832566,S000009217
Hartford Balanced HLS Fund,0001053425,S000003205
Eaton Vance Small Cap Fund,0000031266,S000052056
Johnson Opportunity Fund,0000892657,S000005718
Morgan Stanley VIF Emerging Markets Equity Portfolio,,
Vanguard Balanced Index Fund (US),,
Morgan Stanley Variable - Growth Portfolio,0000716716,S000004177
Invesco V.I. Global Core Equity Fund,0000896435,S000027875
Vanguard Small Cap Value Index Fund,0000036405,S000030019
Morgan Stanley Variable - Global Strategist Portfolio,0001011378,S000004181
Morgan Stanley Variable - Discovery Portfolio,0001011378,S000004167
ProFunds - NASDAQ-100,0001039803,S000003070
ProFunds - Utilities Ultrasector,0001039803,S000003099
Fidelity Inv. Trust - Emerging Markets Fund,,
Fidelity Inv. Trust - Emerging Asia Fund,,
MFS - Blended Research Small Cap Equity Port.,,
James Golden Rainbow Fund,0001045487,S000003560
Nuveen Small/Mid Cap Growth Opportunities Fund,,
Goldman Sachs US Tax Managed Equity Fund,,
Boyar Value Fund,0001041003,S000010926
American Balanced Fund,0000820892,S000008801
Davis Series - Balanced Fund,0000203002,S000003446
New Covenant Growth Fund,0001070222,S000005023
Bridgeway Aggressive Investors 1 Fund,0000916006,S000004419
Bridgeway Ultra Small Company Fund,0000916006,S000004423
Bridgeway Ultra Small Company Market Fund,0000916006,S000004424
MassMutual Balanced Fund,0000916053,S000003776
MassMutual S&P 500 Index Fund,,
MassMutual Equity Opportunities Fund,0000916053,S000003681
MassMutual Mid Cap Growth Fund,0000916053,S000003665
Hussman Strategic Growth Fund,,
LKCM Funds - Balanced Fund,0000918942,S000004605
BlackRock Advantage Large Cap Growth Fund,0000844779,S000001871
Pioneer Disciplined Value Fund,0002042316,S000010093
Columbia Select Large Cap Value Fund,0001031594,S000031373
Baird Mid Cap Fund,0001282693,S000000759
AIM Fds. Grp. (IFG) - Invesco Small Cap Equity Fund,,
AIM Fds. Grp. (IFG) - Invesco European Small Company Fund,,
AIM Fds. Grp. (IFG) - Invesco International Small Company Fund,,
ClearBridge Variable Large Cap Value Portfolio,0001176343,S000017019
ClearBridge Variable Small Cap Growth Portfolio,0001176343,S000017007
John Hancock VIT - Capital Appreciation Trust,,
John Hancock VIT - Small Cap Index Trust,,
Bullfinch Fund - Greater Western New York Series,0001038199,S000012122
Baillie Gifford Emerging Markets Equities Fund,0001120543,S000006833
Fidelity Leveraged Company Stock Fund,0000754510,S000005113
Victory Capital Growth Fund,0000908695,S000012925
Victory Pioneer Balanced Fund,0002042316,S000089820
Fidelity Comwlth. Tr. - Small Cap Discovery Fund,,
BNY Mellon Research Growth Fund Inc.,0000030162,S000000071
Victory Munder Multi Cap Fund,0000802716,S000046395
BlackRock Global Allocation Fund,0000353905,S000035070
T Rowe Price Tax Efficient Equity Fund,0001038490,S000002160
Matthews China Fund,0000923184,S000040793
WesMark Small Company Fund,0001007226,S000005480
WesMark Balanced Fund,0001007226,S000005477
Azzad Ethical Fund,0001031008,S000004763
State Street International Stock Selection Fund,0000826686,S000005168
Fidelity Advisor Series VII - Biotechnology Fund,0000315700,S000005321
Fidelity Advisor Series VII - Semiconductors Fund,0000315700,S000005327
Putnam Dynamic Asset Allocation Growth Fund,0000914209,S000000780
Putnam Dynamic Asset Allocation Balanced Fund,0000914209,S000000778
Putnam Dynamic Asset Allocation Conservative Fund,0000914209,S000000779
Timothy Plan - Small/Mid Cap Growth Fund,,
Timothy Plan - Large/Mid Cap Growth Fund,,
BNY Mellon Income Stock Fund,0001111565,S000000369
BNY Mellon Mid Cap Multi Strategy Fund,0001111565,S000000370
BNY Mellon Small Cap Multi Strategy Fund,0001111565,S000000371
BNY Mellon International Fund,0000813383,S000021516
BNY Mellon Emerging Markets Fund,0000737520,S000000373
BNY Mellon Asset Allocation Fund,0001111565,S000000374
Permanent Portfolio,0000357298,S000006016
Diamond Hill Long-Short Fund,0001032423,S000003157
Diamond Hill Small Cap Fund,0001032423,S000003154
Fidelity Select Wireless Portfolio,0000320351,S000007489
Vanguard Equity Income Fund,0000826473,S000002579
JPMorgan Growth Advantage Fund,0000803747,S000004474
Thornburg Small/Mid Cap Growth Fund,,
SEI Institutional Managed Trust-Tax Managed Small/Mid Cap Fund,,
Sterling Capital Behavioral Large Cap Value Equity Fund,0000889284,S000003536
SEI Institutional Intl. Trust - Emerging Markets Equity Fund,,
Dodge & Cox International Stock Fund,,
Black Oak Emerging Technology Fund,0001050918,S000006541
Columbia Small Cap Index Fund,0001097519,S000010827
Calvert Balanced Fund,0000356682,S000008717
JPMorgan Mid Cap Value Fund,0000914036,S000004475
T Rowe Price International Equity Index Fund,0001120925,S000002099
Janus Henderson Global Life Sciences Fund,0000277751,S000010494
Janus Henderson Global Technology & Innovation Fund,,
Janus Henderson Contrarian Fund,0000277751,S000010475
Harbor Small Cap Growth Fund,0000793769,S000000686
Sterling Capital Behavioral Small Cap Value Equity Fund,0000889284,S000012930
Advisors Inner Circle - LSV Value Equity Fund,0000878719,S000016708
AMG Veritas Global Focus Fund,0000882443,S000009904
BNY Mellon Opportunistic Small Cap Fund,0000813383,S000000462
Principal Funds Inc. - Mid Cap Fund,,
Principal Investors - Mid Cap Growth Fund,,
Principal Investors - Mid Cap S&P 400 Index Fund,,
Principal Investors - Large Cap Value Fund III,,
Principal Investors - Small Cap Growth Fund I,,
Principal Investors - Small Cap Fund,,
Principal Investors - Small Cap S&P 600 Index Fund,,
Transamerica International Focus,0000778207,S000007778
Transamerica Small/Mid Cap Value Fund,,
MassMutual Disciplined Growth Fund,0000927972,S000003795
Steward Values-Focused Small-Mid Cap Enhanced Index Fund,,
JPMorgan Mid Cap Equity Fund,0001217286,S000002793
JPMorgan International Equity Fund,0001659326,S000002623
"Principal Funds, Inc. - Diversified International Fund",0000898745,S000006992
Principal Investors - Large Cap Growth Fund I,,
Principal Investors - Mid Cap Growth Fund III,,
Principal Investors - Real Estate Securities Fund,,
Saturna Investment Trust - Sextant Growth Fund,0000811860,S000004771
Saturna Investment Trust - Sextant International Fund,0000811860,S000022509
Amana Income Fund,0000766285,S000004772
Columbia Seligman Global Technology Fund,0000881466,S000031372
Amana Growth Fund,0000766285,S000022508
Fidelity Advisor Series I - Stock Selector Mid Cap Fund,0000722574,S000005114
SEI Institutional Intl. Trust-International Equity,,
Fidelity Advisor Series I - Equity Value Fund,0000722574,S000005123
North Country Large Cap Equity Fund,0001123460,S000011072
VALIC Company I - International Growth Fund,,
VALIC Company I Systematic Growth Fund,,
VALIC Company I - Dividend Value Fund,,
Old Westbury Large Cap Strategies Fund,0000909994,S000001858
AB Discovery Value Fund,0000825316,S000010412
Ave Maria Value Fund,0000891160,S000001549
ClearBridge Variable Aggressive Growth Portfolio,,
AB Large Cap Value Fund,0001129870,S000010411
DFA US Targeted Value Portfolio,,
AB International Value Fund,0000825316,S000010413
MFS Massachusetts Investors Trust,0000892538,S000008083
Columbia Select Smaller Cap Value Fund,0001031594,S000009592
Vanguard Institutional Total Stock Market Index Fund,0001409957,S000002855
Artisan Mid Cap Value Fund,0000935015,S000006497
Gabelli Enterprise Mergers & Acquisitions Fund,,
Rational Equity Armor Fund,0000810695,S000005856
AIM Fds. Grp. (IFG) - Invesco Global Core Equity Fund,,
Lord Abbett Mid Cap Stock Fund,0000855396,S000001450
Lord Abbett International Opportunities Fund,0000855396,S000007183
Lord Abbett Fundamental Equity Fund,0000855396,S000007138
Praxis Value Index Fund,0000912900,S000003162
John Hancock VIT - Health Sciences Trust,,
John Hancock VIT - Financial Industries Trust,,
MassMutual Overseas Fund,0000916053,S000003667
QS S&P 500 Index Fund,,
Hennessy Cornerstone Mid Cap 30 Fund,0001017953,S000044801
MassMutual Blue Chip Growth Fund,0000916053,S000003658
Bruce Fund,0000047071,S000011411
Virtus Duff & Phelps Real Estate Securities Fund,,
Lazard International Equity Select Fund,,
Calamos Market Neutral Income Fund,0000826732,S000004062
Calamos High Income Opportunities Fund,0000826732,S000004057
Royce Small Cap Value Fund,0000709364,S000009516
Royce Smaller Companies Growth Fund,0000709364,S000009517
Royce Capital Fund - Micro Cap Portfolio,0001006387,S000009496
Royce Capital Fund - Small Cap Portfolio,0001006387,S000009497
PGIM Quant Solutions Large-Cap Value Fund,0001104631,S000004753
Diamond Hill Large Cap Fund,0001048702,S000071665
Fidelity Select Pharmaceuticals Portfolio,0000320351,S000007481
Hillman Value Fund,0001122649,S000070920
MFS Mid Cap Value Fund,0000911637,S000009944
Invesco Value Opportunities Fund,0000896435,S000027840
Westwood Real Estate Income Fund,0001545440,S000077492
Highland Global Allocation Fund,0000891079,S000063416
Nationwide Bailard Cognitive Value Fund,0001048702,S000041092
Nationwide Bailard Technology & Science Fund,,
Buffalo Mid Cap Discovery Fund,0001135300,S000006557
Rydex Russell 2000 1.5x Strategy Fund,0001064046,S000003697
"Principal Funds, Inc. - Large Cap S&P 500 Index Fund",,
First Eagle U.S. Fund,0000906352,S000077255
Live Oak Health Sciences Fund,0001050918,S000006542
American Century Small Cap Growth Fund,0000100334,S000006199
Aegis Value Fund,0001052169,S000043790
AB Growth Fund,0000825316,S000043215
American Century International Opportunities Fund,0000872825,S000006606
Victory 500 Index Fund,0000908695,S000046396
T Rowe Price Large Cap Growth Fund,0001012968,S000002096
ProFunds - Mid Cap,0001039803,S000003074
ProFunds - Small Cap,0001039803,S000003962
ProFunds - Mid Cap Value,0001039803,S000003073
ProFunds - Mid Cap Growth,0001039803,S000003074
ProFunds - Small Cap Value,0001039803,S000003990
ProFunds - Small Cap Growth,0001039803,S000003951
ProFunds - Banks Ultrasector,0001039803,S000003091
ProFunds - Basic Materials Ultrasector,0001039803,S000003102
VY T Rowe Price Diversified Mid Cap Growth Portfolio,0001039001,S000007608
VY Columbia Contrarian Core Portfolio,0001039001,S000007614
Artisan International Small-Mid Fund,0000935015,S000006494
GuideStone Equity Index Fund,0001131013,S000001157
GuideStone Value Equity Fund,0001131013,S000001158
GuideStone Growth Equity Fund,0001131013,S000001159
GuideStone Small Cap Equity Fund,0001131013,S000001160
GuideStone International Equity Fund,0001131013,S000001161
Morgan Stanley Instl. Fund-Global Franchise Portfolio,,
DF Dent Premier Growth Fund,0000315774,S000004568
GuideMark Large Cap Core Fund,0001131042,S000006182
GuideMark Emerging Markets Fund,0001131042,S000006183
GuideMark Small/Mid Cap Core Fund,,
GuideMark World (ex-US) Fund,0001131042,S000006186
Needham Aggressive Growth Fund,0001002537,S000003815
Fidelity Stock Selector Large Cap Value Fund,0000035341,S000039219
Fidelity Mid Cap Value Fund,0000035315,S000056366
Janus Henderson European Focus Fund,0000277751,S000057603
USAA Value Fund,0000908695,S000003238
Franklin Global Equity Fund,0000916488,S000016668
Investment House Growth Fund (The),0001160363,S000001543
AEW Global Focused Real Estate Fund,0001095726,S000008059
FMI Large Cap Fund,0001023391,S000000833
Buffalo Mid Cap Growth Fund,0001135300,S000006556
Causeway International Value Fund,0000933691,S000011497
Touchstone Funds Group Trust - Small Cap Value Fund,0000914243,S000005848
Rydex Mid Cap 1.5x Strategy Fund,0001064046,S000003685
Calamos Select Fund,0000826732,S000004058
Copley Fund,0000721291,S000075609
Harbor Mid Cap Value Fund,0000793769,S000000688
Harbor Small Cap Value Fund,0000793769,S000000689
Hartford International Growth Fund,0001053425,S000003585
Hartford Mid Cap Value Fund,,
JPMorgan Developed International Value Fund,0001217286,S000002627
Northquest Capital Fund,0001142728,S000011589
Lord Abbett Res. Fund Inc. - Calibrated Dividend Growth Fund,,
SEI Institutional Invt. Trust - Large Cap Index Fund,,
Putnam Small Cap Growth Fund,0000822671,S000000777
M Fund - Large Cap Value Fund,0000216934,S000006152
Invesco Global Real Estate Income Fund,0001112996,S000014560
Blue Chip Investor Fund,0001135300,S000004808
VY American Century Small Mid Cap Value Portfolio,0001039001,S000010768
VY Baron Growth Portfolio,0001039001,S000007612
Voya JPMorgan Mid Cap Value Portfolio,0001039001,S000007594
VY Invesco Global Portfolio,,
VY Invesco Equity & Income Portfolio,,
VY Invesco Comstock Portfolio,0001039001,S000007611
Needham Small Cap Growth Fund,0001002537,S000003816
ClearBridge Variable Large Cap Growth Portfolio,0001176343,S000016935
MassMutual Small Company Value Fund,0000916053,S000003671
Voya Morgan Stanley Global Franchise Portfolio,0000837276,S000005745
Voya Investors Trust - JPMorgan Small Cap Core Equity Port.,,
ProFunds - Europe 30,0001039803,S000003061
ProFunds - UltraDow 30,0001039803,S000012057
Neuberger Berman Real Estate Fund,0000044402,S000018758
Robeco Boston Partners All-Cap Value Fund,,
Wasatch International Growth Fund,0000806633,S000000883
Pioneer Fundamental Growth Fund,0002042316,S000004137
Columbia Small Cap Value II Fund,0001413032,S000010793
USA Mutuals Vice Fund,0001644419,S000070210
Eaton Vance Atlanta Capital Focused Growth Fund,0000102816,S000005197
Fidelity Inv. Trust - International Small Cap Fund,,
Manning & Napier Equity Series,,
Manning & Napier Overseas Series,,
Spirit of America Large Cap Value Fund,0001039667,S000001449
"Principal Funds, Inc. - Spectrum Pref. & Cap. Sec. Inc. Fund",,
Advisors Inner Circle - Cambiar International Equity Fund,0000878719,S000005784
Alger Funds - Health Sciences Fund,0000003521,S000009164
Alger Funds - Weatherbie Specialized Growth Fund,0000003521,S000009165
Schwab Balanced Fund,0000904333,S000006549
Schwab International Opportunities Fund,0000904333,S000006551
FPA Queens Road Value Fund,0000924727,S000004901
FPA Queens Road Small Cap Value Fund,0000924727,S000004901
Hotchkis & Wiley Value Opportunities Fund,,
LDR Real Estate Value-Opportunity Fund,0001396092,S000046323
Templeton Institutional Funds - Foreign Smaller Company,,
Artisan International Value Fund,0000935015,S000006495
Carillon Chartwell Mid Cap Value Fund,0000897111,S000075960
Virtus NFJ Large-Cap Value Fund,0000867297,S000007965
Hussman Strategic Total Return Fund,0001110502,S000001545
Rational Dynamic Brands Fund,0000810695,S000005874
ProFunds - Large Cap Value,0001039803,S000003071
Nuveen Life Large Cap Value Fund,0001068204,S000005092
Nuveen Life Small Cap Equity Fund,0001068204,S000005093
Nuveen Life Real Estate Securities Fund,0001068204,S000005096
Fidelity Advisor Series VII - Real Estate Fund,0000315700,S000054816
Fidelity Value Discovery Fund,0000081205,S000039216
Federated Hermes MDT All Cap Core Fund,0001363526,S000012967
Federated Hermes MDT Balanced Fund,0001363526,S000012971
IMS Strategic Income Fund,0001199046,S000045521
Thornburg Investment Income Builder Fund,0000816153,S000011851
ICON Equity Income Fund,0000836267,S000005060
Nuveen Large Cap Select Fund,0000820892,S000005551
Gabelli Focused Growth & Income Fund (The),,
Conestoga Small Cap Fund,0001175813,S000004756
Nuveen Large Cap Value Fund,0001068204,S000005552
Nuveen Quant Mid Cap Growth Fund,,
Nuveen Quant Small Cap Equity Fund,0001084380,S000055721
TIAA-CREF Large Cap Growth Index Fund,0001084380,S000005387
TIAA-CREF Large Cap Value Index Fund,0001084380,S000005388
Nuveen S&P 500 Index Fund,,
Nuveen Small Cap Blend Index Fund,0001084380,S000005367
Nuveen International Equity Index Fund,0001084380,S000005368
Nuveen Real Estate Securities Select Fund,0001068204,S000005369
T Rowe Price Institutional Emerging Markets Equity Fund,0000852254,S000002098
Transamerica BlackRock Global Real Estate Securities,,
Commonwealth Global Fund,0000793601,S000004493
Saratoga Adv. Trust - Mid Capitalization Portfolio,,
John Hancock High Yield Fund,0000857769,S000000614
Pinnacle Value Fund,0001216907,S000004888
Empower Large Cap Growth Fund,0000356476,S000023735
Empower International Growth Fund,0000356476,S000023737
Baron Partners Fund,0001217673,S000000588
Ave Maria Growth Fund,0000891160,S000001550
JPMorgan U.S. GARP Equity Fund,0001217286,S000002790
JPMorgan U.S. Sustainable Leaders Fund,0001217286,S000002791
JPMorgan US Applied Data Science Value Fund,,
ProFunds - Large Cap Growth,0001039803,S000003072
John Hancock VIT - Fundamental All Cap Core Trust,,
John Hancock VIT - Small Cap Opportunities Trust,,
Invesco V.I. Equity & Income Fund,,
Fidelity Blue Chip Value Fund,0000754510,S000007196
Fidelity Real Estate Income Fund,0000754510,S000017688
Columbia Disciplined Core Fund,0000049702,S000012083
Wasatch Micro Cap Value Fund,0000806633,S000000886
Neiman Large Cap Value Fund,0001215880,S000005312
Sterling Capital Special Opportunities Fund,0001311261,S000003543
Optimum International Fund (US),,
Optimum Large Cap Growth Fund,0001227523,S000002422
Optimum Large Cap Value Fund,0001227523,S000002423
Optimum Small Mid Cap Growth Fund,0001227523,S000002424
Optimum Small Mid Cap Value Fund,0001227523,S000002425
Fidelity Advisor Value Leaders Fund,0000729218,S000005435
Eaton Vance Tax Managed Global Dividend Income Fund,0000745463,S000005291
Schwab Dividend Equity Fund,0000904333,S000005515
Schwab Small Cap Equity Fund,0000904333,S000005516
Hartford Equity Income Fund,0001053425,S000021062
Weitz Balanced Fund,,
Fidelity Nasdaq Composite Index Fund,0000819118,S000006010
Segall Bryant & Hamill Quality High Yield Fund,,
SEI Institutional Invt. Trust - Large Cap Disciplined Equity F,,
Janus Aspen Ser. - VIT Mid Cap Value Portfolio,,
Fidelity Advisor New Insights Fund,0000024238,S000006036
Empower S&P 500 Index Fund,,
William Blair Small Mid Cap Growth Fund,0000822632,S000008603
William Blair Institutional International Growth Fund,0000822632,S000008605
Cullen High Dividend Equity Fund,0001109957,S000006835
Matthews Asia Growth Fund,0000923184,S000040804
Bridgeway Small Cap Value Fund,0000916006,S000033567
Federated Hermes Kaufmann Small Cap Fund,0000745968,S000009730
Macquarie Real Estate Securities Fund,0000883622,S000026681
Macquarie Smid Cap Core Fund,0000914036,S000024831
Federated Hermes Muni & Stock Advantage Fund,,
